transit_need_quartile,n_tracts,mean_transit_need_index,mean_baseline_weekday_trips,mean_weekday_trip_change,median_weekday_trip_change,mean_weekend_trip_change,mean_peak_frequency_change,mean_weekday_trips_per_1000_change,mean_accessible_stop_change
low,58,-0.5625713706061414,1826.3103448275863,-3.0,-10.5,-38.87931034482759,-0.7672413793103449,0.010004688573773549,-2.396551724137931
moderate_low,58,-0.30543891627539577,2174.7241379310344,65.96551724137932,0.0,1.7413793103448276,4.262931034482759,8.951779864891748,-1.2758620689655173
moderate_high,58,0.016882167965513235,2219.2586206896553,18.413793103448278,-4.0,8.706896551724139,0.6120689655172413,3.415404815326932,-2.1551724137931036
high,58,0.8511281189160241,2948.9137931034484,-26.74137931034483,-20.5,-57.44827586206897,-1.8060344827586208,-7.1069091242671,-3.5
