term,estimate,std_error,t_value,p_value
Intercept,-55.05282023514057,47.83327899016235,-1.1509313473254266,0.2509608073247476
transit_need_index,-36.57197169633569,45.113642779516844,-0.8106632371735814,0.4184007679063683
weekday_total_trips_accessible_2025_january,0.029975243777999,0.01676058053407897,1.78843708408852,0.07502742772144246
