transit_need_quartile,n_tracts,mean_transit_need_index,mean_baseline_weekday_trips,mean_weekday_trip_change,median_weekday_trip_change,mean_weekend_trip_change,mean_peak_frequency_change,mean_weekday_trips_per_1000_change,mean_accessible_stop_change
low,58,-0.5625713706061414,1826.3103448275863,-19.189655172413794,-18.0,-41.793103448275865,-1.4008620689655173,-3.9040005555545605,-2.4482758620689653
moderate_low,58,-0.30543891627539577,2174.7241379310344,39.310344827586206,0.0,-8.431034482758621,1.646551724137931,2.615734753879314,-1.6379310344827587
moderate_high,58,0.016882167965513235,2219.2586206896553,-11.879310344827585,-16.5,-4.017241379310345,-2.5086206896551726,-3.4478045804173507,-2.4655172413793105
high,58,0.8511281189160241,2948.9137931034484,-65.06896551724138,-41.0,-73.94827586206897,-5.564655172413793,-16.991238098083365,-3.706896551724138
